id,name,province,aqhi,observed,observation_datetime_text_en,observation_datetime_text_fr,lon,lat,color
AQ_OBS-JCAAC-20260201000000,Castlegar,,3.0,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-117.666667,49.324722,#016797
AQ_OBS-DAHEI-20260201000000,Campbellton,,2.28,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-66.683511,47.999336,#016797
AQ_OBS-JAZBU-20260201000000,Metro Vancouver - SE,,1.5,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-122.75,49.1166666666667,#0099cb
AQ_OBS-FCIBD-20260201000000,Port Stanley,,2.24,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-81.2108334,42.6663888,#016797
AQ_OBS-FEUZB-20260201000000,Toronto,,2.62,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.3733333333333,43.7416666666667,#016797
AQ_OBS-JAGPB-20260201000000,Fort St. John,,1.5,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-120.846667,56.2525,#0099cb
AQ_OBS-IACIQ-20260201000000,Strathcona County,,2.3,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-113.1438889,53.5522222,#016797
AQ_OBS-IADGP-20260201000000,Lethbridge,,2.31,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-112.841944444444,49.6936111111111,#016797
AQ_OBS-CASWE-20260201000000,Kentville,,2.3,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-64.4952777777778,45.0775,#016797
AQ_OBS-FDQBX-20260201000000,Toronto North,,2.34,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.41026,43.76205,#016797
AQ_OBS-FCWYG-20260201000000,Toronto Downtown,,3.08,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.3969444,43.6758333,#fffe03
AQ_OBS-JBMQO-20260201000000,Smithers,,1.0,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-127.176111,54.779167,#01cbff
AQ_OBS-FDEGT-20260201000000,Windsor,,2.63,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-82.9936111111111,42.3022222222222,#016797
AQ_OBS-DALZZ-20260201000000,Edmundston,,2.55,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-68.294444,47.377222,#016797
AQ_OBS-JBOAP-20260201000000,North Okanagan,,1.67,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-119.266666666667,50.2583333333333,#0099cb
AQ_OBS-IAEJS-20260201000000,Red Deer,,2.75,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-113.810277777778,52.2686111111111,#016797
