id,name,province,forecast_datetime,publication_datetime,forecast_datetime_text_en,forecast_datetime_text_fr,publication_datetime_text_en,publication_datetime_text_fr,p1_label,p1_aqhi,p2_label,p2_aqhi,p3_label,p3_aqhi,p4_label,p4_aqhi,p5_label,p5_aqhi,lon,lat,p1_color
AQ_FCST-JAZBU-202512210100-202512210100,Metro Vancouver - SE,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-122.75,49.1166666666667,#9e9e9e
AQ_FCST-IABOA-202512210100-202512210000,Drayton Valley,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-114.9808333,53.2241666,#9e9e9e
AQ_FCST-JCVCC-202512210100-202512210100,Eastern Fraser Valley,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-121.941666666667,49.175,#9e9e9e
AQ_FCST-IAFFI-202512210100-202512210000,Fort McMurray,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-111.380277777778,56.7263888888889,#9e9e9e
AQ_FCST-JBXHZ-202512210100-202512210100,Metro Vancouver - NE,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-122.683333333333,49.2333333333333,#9e9e9e
AQ_FCST-JBBWA-202512210100-202512210100,Duncan,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-123.7,48.783333,#9e9e9e
AQ_FCST-LALNA-202512210100-202512210000,Inuvik,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-133.7297,68.3609,#9e9e9e
AQ_FCST-IAIDN-202512210100-202512210000,Brooks,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-111.895,50.567222,#9e9e9e
AQ_FCST-JBTMB-202512210100-202512210100,Williams Lake,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-122.141666666667,52.1416666666667,#9e9e9e
AQ_FCST-JCAAC-202512210100-202512210100,Castlegar,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-117.666667,49.324722,#9e9e9e
